feature,random_forest_importance,xgboost_importance,logistic_regression_coef
count_digits,0.21238369714072747,0.6561606,0.8578039332589222
ratio_digits_url,0.13753169904040935,0.008361537,2.8410559396271706
url_length,0.13436594682256858,0.0063700704,1.417406104650887
path_length,0.11333549710201503,0.07719864,2.9285250112703576
count_dots,0.08252652599157474,0.11581645,1.1072052453457404
url_entropy,0.06957244667577292,0.0020929119,1.5681261740259727
count_slashes,0.0645601315731127,0.01905601,3.295416352941948
path_token_count,0.0618135447654185,0.00044819212,1.434889805893025
has_https,0.023251135326337102,0.0035271647,-0.7523463555184384
count_letters,0.017635574849156257,0.0016443267,1.4155385696998048
has_ip_address,0.016856942220480734,0.0,-0.05441397909297199
count_subdomains,0.015975592334672693,0.0899461,2.5544232731987493
count_special_chars,0.013062765811278718,0.0010540814,0.4582303645298091
hostname_length,0.012161967885991255,0.0027108674,0.6463860177825581
hostname_path_ratio,0.009960085290593699,0.0025466327,0.8584486189732856
hostname_entropy,0.004716964750228217,0.0019991584,-0.3547900745432266
ratio_special_chars,0.004601965379588834,0.0016064161,1.0981937726588018
count_underscores,0.0010491463617436072,0.0,0.5088377085434183
repeated_char_max,0.000981387008635369,0.0,0.4178262338896494
count_hyphens,0.0008615820150411174,0.001207068,-0.47946822809589656
is_suspicious_tld,0.0006472163123605048,0.0046023107,0.4686532401080647
count_question_marks,0.0006139068258572539,0.0,0.11052741945686644
suspicious_keyword_count,0.0005129920602032457,0.003651421,0.48568818168282396
query_length,0.00048048598293170056,0.0,-0.04619842355919988
suspicious_brand_token,0.00017132738911486002,0.0,-0.08223510825988904
count_equals,0.000167439772010151,0.0,-0.024133241994106658
has_punycode,0.00011176385377066706,0.0,-0.09749743671073498
query_param_count,9.003217857099494e-05,0.0,0.0025181144379904383
has_shortener,2.3727983377864197e-07,0.0,-0.05859044566546444
fragment_length,0.0,0.0,0.0
count_ampersands,0.0,0.0,-0.07530921294874951
count_percent,0.0,0.0,-0.014203920197008165
has_at_symbol,0.0,0.0,0.0031246992337517158
has_encoded_chars,0.0,0.0,-0.030613275055479356
